,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
351,Augustinusstraat,Rotterdam,Room,575,10,Furnished,04-04-'22 - 04-04-'23  5d,51.8794,4.527356,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/augustinusstraat/room-2033558,Shared,Shared,Shared,Shared,Unknown,Unknown,Unknown,1,POINT (4.527356 51.8794)
352,Tolhuislaan,Rotterdam,Room,580,20,Furnished,09-05-'22 - 31-08-'23  5d,51.899915,4.481525,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/tolhuislaan/room-2033549,Unknown,Shared,Shared,Shared,Yes,A,3,1,POINT (4.481525 51.899915)
353,Slaghekstraat,Rotterdam,Room,480,13,Uncarpeted,11-04-'22 - Indefinite period  6d,51.897689,4.509726,included,https://kamernet.nl/en/for-rent/room-rotterdam/slaghekstraat/room-2033502,Unknown,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (4.509726 51.897689)
354,Van Weelstraat,Rotterdam,Room,550,23,Unfurnished,03-04-'22 - Indefinite period  6d,51.918976,4.452739,included,https://kamernet.nl/en/for-rent/room-rotterdam/van-weelstraat/room-2033497,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.452739 51.918976)
355,Pleinweg,Rotterdam,Studio,800,25,Unfurnished,14-04-'22 - Indefinite period  6d,51.889715,4.486489,included,https://kamernet.nl/en/for-rent/studio-rotterdam/pleinweg/studio-2033385,Unknown,Own,Own,Own,Yes,Unknown,No,1,POINT (4.486489 51.889715)
356,Willem Ruyslaan,Rotterdam,Room,1100,16,Furnished,21-12-'20 - Indefinite period  28 dec '20,51.921123,4.505328,included,https://kamernet.nl/en/for-rent/room-rotterdam/willem-ruyslaan/room-1890139,Shared,Shared,Own,Own,Yes,A,8,1,POINT (4.505328 51.921123)
357,Vroesenlaan,Rotterdam,Room,735,10,Furnished,01-06-'21 - Indefinite period  16 dec '20,51.931049,4.455691,included,https://kamernet.nl/en/for-rent/room-rotterdam/vroesenlaan/room-1787505,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.455691 51.931049)
358,Van Swietenlaan,Rotterdam,Room,985,35,Furnished,03-07-'22 - Indefinite period  7d,51.888271,4.487574,included,https://kamernet.nl/en/for-rent/room-rotterdam/van-swietenlaan/room-2033386,Own,Shared,Own,Own,Yes,Unknown,1,1,POINT (4.487574 51.888271)
359,Sonmansstraat,Rotterdam,Studio,950,30,Uncarpeted,01-04-'22 - 01-04-'23  1w,51.934847,4.458061,excluded,https://kamernet.nl/en/for-rent/studio-rotterdam/sonmansstraat/studio-2033195,Own,Shared,Own,Own,No,Unknown,No,1,POINT (4.458061 51.934847)
360,Schietbaanlaan,Rotterdam,Apartment,1650,90,Furnished,01-04-'22 - Indefinite period  1w,51.915768,4.457958,included,https://kamernet.nl/en/for-rent/apartment-rotterdam/schietbaanlaan/apartment-2033165,Own,Own,Own,Own,Yes,A,By mutual agreement,3,POINT (4.457958 51.915768)
361,Goereesestraat,Rotterdam,Room,800,18,Furnished,01-05-'22 - Indefinite period  1w,51.888352,4.486783,included,https://kamernet.nl/en/for-rent/room-rotterdam/goereesestraat/room-2033226,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.486783 51.888352)
362,Jacques Dutilhweg,Rotterdam,Room,800,12,Unfurnished,01-09-'22 - Indefinite period  1w,51.927168,4.543462,included,https://kamernet.nl/en/for-rent/room-rotterdam/jacques-dutilhweg/room-2033244,Unknown,Unknown,Shared,Shared,Shared,Unknown,Unknown,1,POINT (4.543462 51.927168)
363,Spangesekade,Rotterdam,Apartment,1399,92,Furnished,09-04-'22 - Indefinite period  1w,51.919155,4.439945,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/spangesekade/apartment-2033243,Unknown,Own,Own,Own,Own,Unknown,Unknown,5,POINT (4.439945 51.919155)
364,Borgesiusstraat,Rotterdam,Apartment,1395,55,Unfurnished,09-04-'22 - Indefinite period  1w,51.934988,4.465347,included,https://kamernet.nl/en/for-rent/apartment-rotterdam/borgesiusstraat/apartment-2033242,Unknown,Own,Own,Own,Own,Unknown,Unknown,4,POINT (4.465347 51.934988)
365,Van Opbergenstraat,Rotterdam,Room,560,15,Furnished,30-04-'22 - Indefinite period  1w,51.942362,4.539967,included,https://kamernet.nl/en/for-rent/room-rotterdam/van-opbergenstraat/room-2033174,Unknown,Shared,Shared,Shared,Yes,Unknown,Unknown,1,POINT (4.539967 51.942362)
366,Botersloot,Rotterdam,Room,950,24,Furnished,01-04-'22 - Indefinite period  1w,51.921936,4.487475,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/botersloot/room-2033082,Unknown,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (4.487475 51.921936)
367,Witte de Withstraat,Rotterdam,Room,775,17,Unfurnished,01-05-'22 - Indefinite period  1w,51.915735,4.477146,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/witte-de-withstraat/room-2033117,Shared,Shared,Shared,Shared,No,Unknown,1,1,POINT (4.477146 51.915735)
368,Kruisplein,Rotterdam,Apartment,1750,71,Unfurnished,01-04-'22 - Indefinite period  1w,51.920924,4.472175,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/kruisplein/apartment-2033050,Own,Own,Own,Own,Yes,A,Yes,3,POINT (4.472175 51.920924)
369,Middenhagen,Rotterdam,Apartment,695,55,Furnished,31-03-'22 - Indefinite period  1w,51.886004,4.555199,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/middenhagen/apartment-2033002,Own,Own,Own,Own,No,D,No,3,POINT (4.555199 51.886004)
370,Vierambachtsstraat,Rotterdam,Room,559,16,Furnished,31-03-'22 - 31-12-'22  1w,51.916722,4.446833,included,https://kamernet.nl/en/for-rent/room-rotterdam/vierambachtsstraat/room-2032922,Own,Own,Own,Shared,Yes,D,1,1,POINT (4.446833 51.916722)
371,Zuidhoek,Rotterdam,Apartment,975,55,Unfurnished,01-05-'22 - Indefinite period  1w,51.887632,4.461742,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/zuidhoek/apartment-1895627,Own,Own,Own,Own,No,A,No,2,POINT (4.461742 51.887632)
372,2e Hogenbanweg,Rotterdam,Room,500,6,Furnished,15-04-'22 - Indefinite period  1w,51.936516,4.426403,included,https://kamernet.nl/en/for-rent/room-rotterdam/2e-hogenbanweg/room-2032984,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.426403 51.936516)
373,Schepenstraat,Rotterdam,Room,630,25,Unfurnished,01-04-'22 - 01-07-'23  1w,51.928725,4.464668,included,https://kamernet.nl/en/for-rent/room-rotterdam/schepenstraat/room-2032727,Own,Shared,Shared,Shared,No,D,1,1,POINT (4.464668 51.928725)
374,Schepenstraat,Rotterdam,Room,867,42,Unfurnished,01-04-'22 - 01-07-'23  1w,51.928725,4.464668,included,https://kamernet.nl/en/for-rent/room-rotterdam/schepenstraat/room-2032581,Own,Shared,Shared,Shared,No,D,2,2,POINT (4.464668 51.928725)
375,Witte de Withstraat,Rotterdam,Apartment,1800,89,Furnished,02-04-'22 - Indefinite period  1w,51.916117,4.478622,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/witte-de-withstraat/apartment-2032839,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,3,POINT (4.478622 51.916117)
376,Willem Ruyslaan,Rotterdam,Room,1100,16,Furnished,21-12-'20 - Indefinite period  28 dec '20,51.921123,4.505328,included,https://kamernet.nl/en/for-rent/room-rotterdam/willem-ruyslaan/room-1890139,Shared,Shared,Own,Own,Yes,A,8,1,POINT (4.505328 51.921123)
377,Vroesenlaan,Rotterdam,Room,735,10,Furnished,01-06-'21 - Indefinite period  16 dec '20,51.931049,4.455691,included,https://kamernet.nl/en/for-rent/room-rotterdam/vroesenlaan/room-1787505,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.455691 51.931049)
378,Van Swietenlaan,Rotterdam,Apartment,895,57,Unfurnished,07-04-'22 - Indefinite period  1w,51.885935,4.485656,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/van-swietenlaan/apartment-2032837,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,3,POINT (4.485656 51.885935)
379,Jufferkade,Rotterdam,Studio,770,30,Unfurnished,31-03-'22 - Indefinite period  1w,51.915786,4.484782,excluded,https://kamernet.nl/en/for-rent/studio-rotterdam/jufferkade/studio-2032790,Own,Own,Own,Shared,Unknown,Unknown,No,1,POINT (4.484782 51.915786)
380,Oude Binnenweg,Rotterdam,Studio,800,35,Furnished,31-03-'22 - 31-07-'22  1w,51.917589,4.475551,included,https://kamernet.nl/en/for-rent/studio-rotterdam/oude-binnenweg/studio-2032816,Own,Own,Own,Own,Yes,A,No,1,POINT (4.475551 51.917589)
381,Statenweg,Rotterdam,Room,580,10,Furnished,15-04-'22 - 15-07-'22  1w,51.930012,4.459047,included,https://kamernet.nl/en/for-rent/room-rotterdam/statenweg/room-2032795,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.459047 51.930012)
382,Rochussenstraat,Rotterdam,Apartment,543,10,Furnished,28-04-'22 - 31-08-'22  1w,51.909156,4.454792,included,https://kamernet.nl/en/for-rent/apartment-rotterdam/rochussenstraat/apartment-2032743,Shared,Shared,Shared,Shared,Yes,Unknown,No,9,POINT (4.454792 51.909156)
383,Sonmansstraat,Rotterdam,Studio,1000,37,Unfurnished,30-03-'22 - 31-03-'23  1w,51.934847,4.458061,excluded,https://kamernet.nl/en/for-rent/studio-rotterdam/sonmansstraat/studio-2032335,Own,Own,Own,Own,No,Unknown,By mutual agreement,2,POINT (4.458061 51.934847)
384,Kerkwervesingel,Rotterdam,Room,450,15,Unfurnished,31-03-'22 - Indefinite period  1w,51.875222,4.469023,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/kerkwervesingel/room-2032675,Unknown,Shared,Shared,Shared,Unknown,Unknown,2,1,POINT (4.469023 51.875222)
385,Teilingerstraat,Rotterdam,Room,499,12,Unfurnished,01-05-'22 - Indefinite period  1w,51.928536,4.474808,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/teilingerstraat/room-2032608,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.474808 51.928536)
386,Meent,Rotterdam,Room,630,17,Unfurnished,02-06-'22 - Indefinite period  1w,51.924217,4.485844,included,https://kamernet.nl/en/for-rent/room-rotterdam/meent/room-2032628,Unknown,Shared,Shared,Shared,No,Unknown,2,1,POINT (4.485844 51.924217)
387,Zegenstraat,Rotterdam,Apartment,825,50,Unfurnished,30-03-'22 - Indefinite period  1w,51.888387,4.468452,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/zegenstraat/apartment-2032620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,2,POINT (4.468452 51.888387)
388,Boezemsingel,Rotterdam,Room,525,11,Furnished,01-05-'22 - 01-08-'22  1w,51.930259,4.492853,included,https://kamernet.nl/en/for-rent/room-rotterdam/boezemsingel/room-2032411,Shared,Shared,Shared,Shared,Yes,Unknown,Unknown,1,POINT (4.492853 51.930259)
389,Geertsemastraat,Rotterdam,Room,350,14,Unfurnished,30-03-'22 - 01-09-'23  1w,51.933929,4.463452,included,https://kamernet.nl/en/for-rent/room-rotterdam/geertsemastraat/room-2032606,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.463452 51.933929)
390,Schiekade,Rotterdam,Room,650,18,Uncarpeted,01-05-'22 - Indefinite period  2w,51.930649,4.470674,included,https://kamernet.nl/en/for-rent/room-rotterdam/schiekade/room-2032558,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.470674 51.930649)
391,Statenweg,Rotterdam,Room,712,20,Unfurnished,01-05-'22 - Indefinite period  2w,51.928645,4.460746,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/statenweg/room-2032549,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.460746 51.928645)
392,Rochussenstraat,Rotterdam,Room,690,19,Furnished,05-06-'22 - 26-08-'22  2w,51.909156,4.454792,included,https://kamernet.nl/en/for-rent/room-rotterdam/rochussenstraat/room-2032540,Shared,Shared,Own,Shared,Yes,B,5,1,POINT (4.454792 51.909156)
393,2e Middellandstraat,Rotterdam,Room,450,12,Unfurnished,09-05-'22 - Indefinite period  2w,51.918034,4.457595,included,https://kamernet.nl/en/for-rent/room-rotterdam/2e-middellandstraat/room-2032535,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.457595 51.918034)
394,Mathenesserweg,Rotterdam,Room,620,19,Furnished,01-05-'22 - 30-06-'22  2w,51.915238,4.440504,included,https://kamernet.nl/en/for-rent/room-rotterdam/mathenesserweg/room-2032508,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.440504 51.915238)
395,Pieter de Hoochweg,Rotterdam,Apartment,450,10,Unfurnished,15-05-'22 - Indefinite period  4w,51.907875,4.458495,included,https://kamernet.nl/en/for-rent/apartment-rotterdam/pieter-de-hoochweg/apartment-2029555,Shared,Shared,Shared,Shared,Yes,A,No,1,POINT (4.458495 51.907875)
396,Willem Ruyslaan,Rotterdam,Room,1100,16,Furnished,21-12-'20 - Indefinite period  28 dec '20,51.921123,4.505328,included,https://kamernet.nl/en/for-rent/room-rotterdam/willem-ruyslaan/room-1890139,Shared,Shared,Own,Own,Yes,A,8,1,POINT (4.505328 51.921123)
397,Vroesenlaan,Rotterdam,Room,735,10,Furnished,01-06-'21 - Indefinite period  16 dec '20,51.931049,4.455691,included,https://kamernet.nl/en/for-rent/room-rotterdam/vroesenlaan/room-1787505,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.455691 51.931049)
398,Blommersdijkselaan,Rotterdam,Apartment,1500,80,Unfurnished,01-04-'22 - Indefinite period  2w,51.938342,4.481391,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/blommersdijkselaan/apartment-2032407,Own,Own,Own,Own,No,B,Yes,4,POINT (4.481391 51.938342)
399,Beukelsdijk,Rotterdam,Room,375,14,Unfurnished,23-04-'22 - 01-01-'23  2w,51.920423,4.451873,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/beukelsdijk/room-2032396,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.451873 51.920423)
400,Sint-Jacobstraat,Rotterdam,Room,750,14,Furnished,01-05-'22 - Indefinite period  2w,51.923627,4.482733,included,https://kamernet.nl/en/for-rent/room-rotterdam/sint-jacobstraat/room-2032455,Shared,Shared,Shared,Shared,Yes,B,3,1,POINT (4.482733 51.923627)
401,Gerdesiaweg,Rotterdam,Room,620,22,Furnished,28-03-'22 - Indefinite period  2w,51.925374,4.504293,included,https://kamernet.nl/en/for-rent/room-rotterdam/gerdesiaweg/room-2032295,Shared,Shared,Shared,Shared,Yes,B,1,1,POINT (4.504293 51.925374)
402,Elandstraat,Rotterdam,Apartment,1050,50,Unfurnished,01-04-'22 - Indefinite period  2w,51.911131,4.553723,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/elandstraat/apartment-2032276,Own,Own,Own,Own,Unknown,Unknown,No,2,POINT (4.553723 51.911131)
403,Hillestraat,Rotterdam,Apartment,1750,123,Unfurnished,01-06-'22 - Indefinite period  2w,51.904101,4.499133,excluded,https://kamernet.nl/en/for-rent/apartment-rotterdam/hillestraat/apartment-2032183,Shared,Shared,Shared,Shared,Unknown,A,No,4,POINT (4.499133 51.904101)
404,Bulgersteyn,Rotterdam,Apartment,625,9,Furnished,27-03-'22 - Indefinite period  2w,51.919343,4.481465,included,https://kamernet.nl/en/for-rent/apartment-rotterdam/bulgersteyn/apartment-2032026,Shared,Shared,Shared,Shared,Yes,Unknown,No,4,POINT (4.481465 51.919343)
405,Sint-Jacobstraat,Rotterdam,Room,565,13,Furnished,01-05-'22 - Indefinite period  2w,51.923627,4.482733,included,https://kamernet.nl/en/for-rent/room-rotterdam/sint-jacobstraat/room-2032168,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.482733 51.923627)
406,Jan Sonjestraat,Rotterdam,Studio,1000,45,Unfurnished,01-04-'22 - Indefinite period  2w,51.917587,4.460816,included,https://kamernet.nl/en/for-rent/studio-rotterdam/jan-sonjestraat/studio-2032189,Own,Own,Own,Own,Yes,Unknown,No,1,POINT (4.460816 51.917587)
407,Abraham Kuyperlaan,Rotterdam,Room,430,14,Unfurnished,01-04-'22 - Indefinite period  2w,51.93496,4.465164,included,https://kamernet.nl/en/for-rent/room-rotterdam/abraham-kuyperlaan/room-2031741,Own,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.465164 51.93496)
408,Essenburgsingel,Rotterdam,Studio,1295,35,Furnished,28-03-'22 - 01-08-'24  2w,51.922708,4.459555,included,https://kamernet.nl/en/for-rent/studio-rotterdam/essenburgsingel/studio-2032145,Own,Own,Own,Own,Yes,Unknown,No,1,POINT (4.459555 51.922708)
409,1e Middellandstraat,Rotterdam,Room,570,14,Uncarpeted,14-04-'22 - 18-09-'22  2w,51.919088,4.462561,excluded,https://kamernet.nl/en/for-rent/room-rotterdam/1e-middellandstraat/room-2028476,Shared,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (4.462561 51.919088)
410,Seinpostduin,Den Haag,Apartment,1100,48,Furnished,09-04-'22 - 01-06-'23  New!,52.108846,4.276747,excluded,https://kamernet.nl/en/for-rent/apartment-den-haag/seinpostduin/apartment-2034921,Own,Own,Own,Own,No,B,No,2,POINT (4.276747 52.108846)
411,Rijswijkseweg,Den Haag,Apartment,2500,105,Unfurnished,10-04-'22 - Indefinite period  3h,52.067998,4.327492,included,https://kamernet.nl/en/for-rent/apartment-den-haag/rijswijkseweg/apartment-2033919,Own,Own,Own,Own,Unknown,Unknown,No,6,POINT (4.327492 52.067998)
412,Elsstraat,Den Haag,Apartment,1095,60,Furnished,01-07-'22 - Indefinite period  3h,52.078267,4.271795,excluded,https://kamernet.nl/en/for-rent/apartment-den-haag/elsstraat/apartment-2034920,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (4.271795 52.078267)
413,Kruidentuinen,Den Haag,Apartment,1275,79,Unfurnished,01-05-'22 - Indefinite period  3h,52.057435,4.246801,excluded,https://kamernet.nl/en/for-rent/apartment-den-haag/kruidentuinen/apartment-2034909,Own,Own,Own,Own,No,Unknown,By mutual agreement,4,POINT (4.246801 52.057435)
414,Rederserf,Den Haag,Apartment,150,12,Unfurnished,09-04-'22 - Indefinite period  4h,52.112281,4.280127,excluded,https://kamernet.nl/en/for-rent/apartment-den-haag/rederserf/apartment-2034840,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (4.280127 52.112281)
415,Bresterstraat,Den Haag,Room,650,35,Furnished,15-04-'22 - Indefinite period  5h,52.059072,4.320094,included,https://kamernet.nl/en/for-rent/room-den-haag/bresterstraat/room-2034879,Unknown,Shared,Shared,Shared,No,Unknown,2,1,POINT (4.320094 52.059072)
416,Bierkade,Den Haag,Room,650,13,Furnished,01-04-'21 - Indefinite period  14 okt '20,52.074903,4.318838,included,https://kamernet.nl/en/for-rent/room-den-haag/bierkade/room-1860250,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (4.318838 52.074903)
417,Joan Maetsuyckerstraat,Den Haag,Room,700,10,Furnished,01-04-'22 - Indefinite period  5h,52.086791,4.33996,excluded,https://kamernet.nl/en/for-rent/room-den-haag/joan-maetsuyckerstraat/room-2034835,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.33996 52.086791)
418,Isingstraat,Den Haag,Room,600,15,Furnished,01-05-'22 - 01-05-'23  21h,52.06246,4.32704,included,https://kamernet.nl/en/for-rent/room-den-haag/isingstraat/room-2034735,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.32704 52.06246)
419,Oudemansstraat,Den Haag,Apartment,1250,84,Unfurnished,08-04-'22 - Indefinite period  21h,52.06188,4.326264,excluded,https://kamernet.nl/en/for-rent/apartment-den-haag/oudemansstraat/apartment-2034726,Own,Own,Own,Own,Yes,Unknown,By mutual agreement,3,POINT (4.326264 52.06188)
420,Minckelersstraat,Den Haag,Room,580,20,Furnished,01-05-'22 - Indefinite period  1d,52.061523,4.329098,included,https://kamernet.nl/en/for-rent/room-den-haag/minckelersstraat/room-1792065,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.329098 52.061523)
421,Thorbeckelaan,Den Haag,Room,865,62,Unfurnished,01-05-'22 - Indefinite period  1d,52.06352,4.256707,included,https://kamernet.nl/en/for-rent/room-den-haag/thorbeckelaan/room-2034600,Own,Own,Own,Own,Yes,Unknown,Unknown,3,POINT (4.256707 52.06352)
422,Soestdijksekade,Den Haag,Room,585,35,Uncarpeted,01-05-'22 - Indefinite period  1d,52.066242,4.270011,excluded,https://kamernet.nl/en/for-rent/room-den-haag/soestdijksekade/room-2034659,Own,Shared,Shared,Shared,Yes,D,1,1,POINT (4.270011 52.066242)
423,Hooikade,Den Haag,Studio,850,70,Furnished,08-04-'22 - 01-12-'22  2d,52.085072,4.31336,excluded,https://kamernet.nl/en/for-rent/studio-den-haag/hooikade/studio-2034613,Own,Own,Own,Own,Yes,Unknown,No,1,POINT (4.31336 52.085072)
424,Haagsestraat,Den Haag,Studio,594,32,Furnished,01-05-'22 - 01-10-'22  2d,52.110884,4.288869,excluded,https://kamernet.nl/en/for-rent/studio-den-haag/haagsestraat/studio-2034491,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (4.288869 52.110884)
425,Thorbeckelaan,Den Haag,Room,865,60,Unfurnished,01-05-'22 - Indefinite period  2d,52.06352,4.256707,included,https://kamernet.nl/en/for-rent/room-den-haag/thorbeckelaan/room-2034577,Own,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,3,POINT (4.256707 52.06352)
426,Laan van Meerdervoort,Den Haag,Apartment,750,30,Furnished,01-05-'22 - 30-11-'22  2d,52.079623,4.279336,included,https://kamernet.nl/en/for-rent/apartment-den-haag/laan-van-meerdervoort/apartment-2034515,Unknown,Own,Own,Shared,Yes,Unknown,No,1,POINT (4.279336 52.079623)
427,Hulshorststraat,Den Haag,Room,550,18,Furnished,22-04-'22 - 03-07-'22  2d,52.065403,4.287247,excluded,https://kamernet.nl/en/for-rent/room-den-haag/hulshorststraat/room-2034443,Shared,Shared,Shared,Shared,Yes,A,2,1,POINT (4.287247 52.065403)
428,Copernicuslaan,Den Haag,Room,518,21,Unfurnished,02-05-'22 - Indefinite period  2d,52.073919,4.269168,included,https://kamernet.nl/en/for-rent/room-den-haag/copernicuslaan/room-2034485,Unknown,Shared,Shared,Shared,No,Unknown,3,1,POINT (4.269168 52.073919)
429,Nicolaistraat,Den Haag,Room,500,12,Unfurnished,05-05-'22 - Indefinite period  3d,52.08465,4.277983,excluded,https://kamernet.nl/en/for-rent/room-den-haag/nicolaistraat/room-2034364,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.277983 52.08465)
430,Rijswijkseweg,Den Haag,Room,690,22,Furnished,05-05-'22 - 31-07-'23  4d,52.064144,4.331164,included,https://kamernet.nl/en/for-rent/room-den-haag/rijswijkseweg/room-2034101,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.331164 52.064144)
431,Hoge Zand,Den Haag,Room,700,16,Furnished,15-04-'22 - 31-10-'22  4d,52.073414,4.307626,included,https://kamernet.nl/en/for-rent/room-den-haag/hoge-zand/room-2034105,Own,Own,Own,Shared,Yes,Unknown,Unknown,1,POINT (4.307626 52.073414)
432,Willem Kuijperstraat,Den Haag,Room,585,20,Unfurnished,05-04-'22 - Indefinite period  4d,52.104325,4.283355,included,https://kamernet.nl/en/for-rent/room-den-haag/willem-kuijperstraat/room-2034102,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.283355 52.104325)
433,Veenendaalkade,Den Haag,Room,450,12,Uncarpeted,05-04-'22 - Indefinite period  4d,52.060097,4.271309,excluded,https://kamernet.nl/en/for-rent/room-den-haag/veenendaalkade/room-2034086,Unknown,Shared,Own,Shared,No,B,7,1,POINT (4.271309 52.060097)
434,Helmersstraat,Den Haag,Room,345,20,Unfurnished,22-05-'22 - Indefinite period  4d,52.07839,4.294621,included,https://kamernet.nl/en/for-rent/room-den-haag/helmersstraat/room-2033858,Shared,Shared,Shared,Shared,Yes,C,3,1,POINT (4.294621 52.07839)
435,Bierkade,Den Haag,Room,650,13,Furnished,01-04-'21 - Indefinite period  14 okt '20,52.074903,4.318838,included,https://kamernet.nl/en/for-rent/room-den-haag/bierkade/room-1860250,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (4.318838 52.074903)
436,Statenlaan,Den Haag,Room,425,16,Furnished,01-05-'22 - 01-05-'23  4d,52.091724,4.277389,included,https://kamernet.nl/en/for-rent/room-den-haag/statenlaan/room-2034037,Unknown,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (4.277389 52.091724)
437,Van der Woudendijk,Den Haag,Room,950,16,Furnished,04-04-'22 - Indefinite period  4d,52.036842,4.367267,included,https://kamernet.nl/en/for-rent/room-den-haag/van-der-woudendijk/room-2033837,Own,Own,Own,Own,Yes,Unknown,5,1,POINT (4.367267 52.036842)
438,Vledderstraat,Den Haag,Room,550,7,Furnished,04-04-'22 - Indefinite period  4d,52.048348,4.272389,included,https://kamernet.nl/en/for-rent/room-den-haag/vledderstraat/room-2033832,Shared,Shared,Shared,Shared,Yes,Unknown,6,1,POINT (4.272389 52.048348)
439,Wouwermanstraat,Den Haag,Room,500,20,Furnished,16-04-'22 - Indefinite period  5d,52.062475,4.307441,excluded,https://kamernet.nl/en/for-rent/room-den-haag/wouwermanstraat/room-2033758,Shared,Shared,Shared,Shared,No,Unknown,3,1,POINT (4.307441 52.062475)
440,Wouwermanstraat,Den Haag,Room,500,20,Unfurnished,16-04-'22 - Indefinite period  5d,52.062475,4.307441,excluded,https://kamernet.nl/en/for-rent/room-den-haag/wouwermanstraat/room-2033757,Shared,Shared,Shared,Shared,No,Unknown,3,1,POINT (4.307441 52.062475)
441,Vreeswijkstraat,Den Haag,Room,365,14,Unfurnished,24-12-'21 - Indefinite period  5d,52.057597,4.275457,included,https://kamernet.nl/en/for-rent/room-den-haag/vreeswijkstraat/room-2011295,Unknown,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (4.275457 52.057597)
442,Swammerdamstraat,Den Haag,Room,495,6,Furnished,04-04-'22 - Indefinite period  5d,52.068743,4.328433,included,https://kamernet.nl/en/for-rent/room-den-haag/swammerdamstraat/room-2033695,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.328433 52.068743)
443,Vlagstraat,Den Haag,Room,850,30,Furnished,01-06-'22 - 01-06-'23  5d,52.102199,4.274262,included,https://kamernet.nl/en/for-rent/room-den-haag/vlagstraat/room-2033700,Own,Own,Own,Own,Yes,Unknown,Unknown,1,POINT (4.274262 52.102199)
444,Georges Bizetstraat,Den Haag,Room,400,15,Unfurnished,10-04-'22 - 10-04-'23  5d,52.058798,4.24128,included,https://kamernet.nl/en/for-rent/room-den-haag/georges-bizetstraat/room-2033701,Shared,Shared,Shared,Shared,Unknown,E,Unknown,1,POINT (4.24128 52.058798)
445,Ankerstraat,Den Haag,Studio,850,24,Furnished,02-05-'22 - Indefinite period  5d,52.10774,4.276306,included,https://kamernet.nl/en/for-rent/studio-den-haag/ankerstraat/studio-2033645,Own,Own,Own,Own,Yes,C,No,1,POINT (4.276306 52.10774)
