,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
1415,Klokstraat,Leeuwarden,Room,400,11,Unfurnished,01-04-'22 - Indefinite period  3w,53.201755,5.797053,excluded,https://kamernet.nl/en/for-rent/room-leeuwarden/klokstraat/room-2031039,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (5.797053 53.201755)
1416,Dokkumerstraat,Leeuwarden,Room,400,16,Furnished,01-04-'22 - Indefinite period  3w,53.207816,5.801645,included,https://kamernet.nl/en/for-rent/room-leeuwarden/dokkumerstraat/room-2031010,Shared,Shared,Shared,Shared,Yes,C,2,1,POINT (5.801645 53.207816)
1417,de Dulf,Leeuwarden,Room,425,26,Uncarpeted,21-03-'22 - Indefinite period  3w,53.214563,5.796839,included,https://kamernet.nl/en/for-rent/room-leeuwarden/de-dulf/room-2030821,Own,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.796839 53.214563)
1418,Keizerskroon,Leeuwarden,Room,350,13,Uncarpeted,19-03-'22 - Indefinite period  3w,53.189942,5.826568,included,https://kamernet.nl/en/for-rent/room-leeuwarden/keizerskroon/room-2030515,Unknown,Shared,Shared,Shared,Yes,Unknown,Unknown,1,POINT (5.826568 53.189942)
1419,Insulindestraat,Leeuwarden,Room,340,14,Unfurnished,17-03-'22 - Indefinite period  3w,53.204761,5.812724,included,https://kamernet.nl/en/for-rent/room-leeuwarden/insulindestraat/room-2030099,Unknown,Own,Shared,Shared,Yes,Unknown,7,1,POINT (5.812724 53.204761)
1420,Bagijnestraat,Leeuwarden,Apartment,1100,108,Unfurnished,15-03-'22 - Indefinite period  4w,53.20154,5.794274,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/bagijnestraat/apartment-2029768,Own,Own,Own,Own,No,Unknown,No,6,POINT (5.794274 53.20154)
1421,Tuinen,Leeuwarden,Apartment,1250,101,Uncarpeted,01-02-'22 - Indefinite period  4w,53.20353,5.801578,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/tuinen/apartment-2020155,Own,Own,Own,Own,Yes,B,No,5,POINT (5.801578 53.20353)
1422,Nieuwesteeg,Leeuwarden,Room,400,10,Furnished,11-03-'22 - 30-09-'22  4w,53.201554,5.793353,included,https://kamernet.nl/en/for-rent/room-leeuwarden/nieuwesteeg/room-2029029,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (5.793353 53.201554)
1423,van der Kooijstraat,Leeuwarden,Room,400,20,Uncarpeted,01-04-'22 - Indefinite period  4w,53.201579,5.806458,included,https://kamernet.nl/en/for-rent/room-leeuwarden/van-der-kooijstraat/room-2028754,Unknown,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (5.806458 53.201579)
1424,Amelandshof,Leeuwarden,Apartment,716,50,Unfurnished,10-03-'22 - Indefinite period  05 Mar,53.20451,5.803338,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/amelandshof/apartment-2027703,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (5.803338 53.20451)
